Time	Rain	T2m
2020-04-02	2.3	20.1
2020-04-01	15.1	11.7
2020-03-31	2.8	22.9
2020-03-30	17.4	19.2
2020-03-29	16.6	29.4
2020-03-28	2.1	28.0
2020-03-27	15.3	16.1
2020-03-26	7.4	30.4
2020-03-25	14.0	18.2
2020-03-24	16.6	32.7
2020-03-23	13.1	15.5
2020-03-22	15.6	21.6
2020-03-21	14.3	19.8
2020-03-20	19.6	18.0
2020-03-19	9.1	26.7
2020-03-18	19.9	31.0
2020-03-17	12.5	24.5
2020-03-16	12.0	14.2
2020-03-15	0.2	24.9
2020-03-14	8.8	14.4
2020-03-13	2.6	21.8
2020-03-12	1.3	10.3
2020-03-11	19.6	23.1
2020-03-10	11.4	13.3
2020-03-09	8.4	16.2
2020-03-08	13.8	10.7
2020-03-07	9.0	34.0
2020-03-06	12.3	27.7
2020-03-05	7.3	29.7
2020-03-04	4.1	33.5
2020-03-03	1.5	22.1
2020-03-02	8.0	23.8
2020-03-01	0.8	20.0
2020-02-29	8.5	16.5
2020-02-28	13.1	19.6
2020-02-27	17.7	25.7
2020-02-26	15.1	24.5
2020-02-25	5.5	30.1
2020-02-24	17.8	33.2
2020-02-23	9.2	10.9
2020-02-22	12.6	15.0
2020-02-21	0.7	27.0
2020-02-20	6.7	31.0
2020-02-19	13.7	23.1
2020-02-18	12.9	26.5
2020-02-17	19.1	15.7
2020-02-16	7.0	21.6
2020-02-15	10.3	29.9
2020-02-14	6.3	26.0
2020-02-13	16.9	16.6
2020-02-12	1.7	19.3
2020-02-11	10.2	16.1
2020-02-10	6.0	21.0
2020-02-09	4.1	29.4
2020-02-08	8.6	28.8
2020-02-07	8.8	20.2
2020-02-06	15.2	32.8
2020-02-05	1.4	30.6
2020-02-04	19.1	33.8
2020-02-03	5.3	24.4
2020-02-02	18.6	31.8
2020-02-01	4.8	30.3
2020-01-31	5.9	24.8
2020-01-30	18.7	32.2
2020-01-29	19.0	25.2
2020-01-28	13.0	31.0
2020-01-27	2.7	24.8
2020-01-26	14.8	28.5
2020-01-25	18.5	30.7
2020-01-24	3.5	15.8
2020-01-23	10.7	14.5
2020-01-22	7.0	21.2
2020-01-21	13.7	31.6
2020-01-20	9.8	21.7
2020-01-19	5.2	26.0
2020-01-18	1.3	26.1
2020-01-17	10.1	33.6
2020-01-16	7.9	21.5
2020-01-15	17.0	17.5
2020-01-14	10.5	16.8
2020-01-13	2.4	21.0
2020-01-12	4.6	31.2
2020-01-11	15.5	32.7
2020-01-10	2.5	22.2
2020-01-09	15.7	29.6
2020-01-08	9.7	16.7
2020-01-07	5.6	33.9
2020-01-06	5.3	13.0
2020-01-05	13.0	19.8
2020-01-04	5.6	20.7
2020-01-03	2.3	17.3
2020-01-02	13.4	18.2
2020-01-01	6.7	18.6
2019-12-31	4.8	11.8
2019-12-30	4.4	34.5
2019-12-29	10.9	13.0
2019-12-28	6.7	29.0
2019-12-27	8.3	10.6
2019-12-26	17.2	33.4
2019-12-25	1.0	18.2
2019-12-24	6.2	13.3
2019-12-23	19.8	18.4
2019-12-22	17.7	15.3
2019-12-21	3.6	14.5
2019-12-20	12.8	30.4
2019-12-19	3.4	10.4
2019-12-18	16.8	21.8
2019-12-17	8.0	22.7
2019-12-16	0.9	17.8
2019-12-15	3.9	22.5
2019-12-14	18.9	12.4
2019-12-13	19.4	31.9
2019-12-12	2.2	15.0
2019-12-11	4.3	14.4
2019-12-10	9.7	19.4
2019-12-09	3.8	31.6
2019-12-08	6.8	10.6
2019-12-07	8.6	14.2
2019-12-06	10.2	26.4
2019-12-05	8.0	30.1
2019-12-04	6.3	31.9
2019-12-03	19.0	10.1
2019-12-02	11.1	24.8
2019-12-01	8.3	33.4
2019-11-30	3.6	26.5
2019-11-29	13.4	21.1
2019-11-28	1.2	21.2
2019-11-27	4.8	17.1
2019-11-26	17.5	16.2
2019-11-25	11.0	27.9
2019-11-24	19.8	33.3
2019-11-23	13.7	22.0
2019-11-22	13.9	17.8
2019-11-21	14.9	14.7
2019-11-20	12.9	13.4
2019-11-19	10.4	31.1
2019-11-18	19.6	15.5
2019-11-17	14.2	18.7
2019-11-16	1.2	15.5
2019-11-15	1.3	30.1
2019-11-14	2.0	18.9
2019-11-13	15.4	16.0
2019-11-12	11.3	26.5
2019-11-11	1.5	21.3
2019-11-10	12.5	29.4
2019-11-09	16.4	34.2
2019-11-08	16.6	10.4
2019-11-07	19.1	22.6
2019-11-06	6.3	22.0
2019-11-05	10.9	12.0
2019-11-04	4.5	16.3
2019-11-03	9.4	12.1
2019-11-02	2.6	30.5
2019-11-01	10.4	19.1
2019-10-31	13.6	11.3
2019-10-30	18.1	31.9
2019-10-29	3.0	19.5
2019-10-28	3.7	10.3
2019-10-27	14.9	10.6
2019-10-26	2.9	20.2
2019-10-25	19.1	17.4
2019-10-24	15.2	16.2
2019-10-23	12.9	19.0
2019-10-22	15.5	17.9
2019-10-21	3.3	31.8
2019-10-20	8.8	27.3
2019-10-19	7.5	20.2
2019-10-18	0.1	29.5
2019-10-17	12.9	33.8
2019-10-16	2.9	32.1
2019-10-15	11.1	12.0
2019-10-14	2.3	28.9
2019-10-13	12.3	32.0
2019-10-12	8.0	34.4
2019-10-11	3.5	15.5
2019-10-10	4.2	21.9
2019-10-09	1.6	32.1
2019-10-08	13.7	11.5
2019-10-07	15.2	29.6
2019-10-06	16.0	21.6
2019-10-05	4.1	18.6
2019-10-04	15.9	27.4
2019-10-03	3.9	15.9
2019-10-02	5.6	18.5
2019-10-01	1.6	12.7
2019-09-30	0.4	32.5
2019-09-29	3.0	26.0
2019-09-28	19.9	14.3
2019-09-27	14.0	23.7
2019-09-26	11.0	29.6
2019-09-25	11.8	16.0
2019-09-24	6.8	18.4
2019-09-23	12.8	15.6
2019-09-22	4.2	26.8
2019-09-21	5.6	31.8
2019-09-20	9.8	32.7
2019-09-19	2.3	27.5
2019-09-18	6.2	18.3
2019-09-17	3.3	24.2
2019-09-16	4.2	28.8
2019-09-15	19.6	27.8
2019-09-14	7.6	26.6
2019-09-13	17.6	10.9
2019-09-12	18.3	27.5
2019-09-11	3.8	22.3
2019-09-10	2.5	30.7
2019-09-09	11.4	20.9
2019-09-08	18.7	12.1
2019-09-07	6.0	34.3
2019-09-06	7.9	21.4
2019-09-05	13.8	19.1
2019-09-04	17.4	19.0
2019-09-03	11.5	17.5
2019-09-02	6.5	16.8
2019-09-01	18.5	19.2
2019-08-31	6.8	15.7
2019-08-30	2.1	28.4
2019-08-29	4.0	12.1
2019-08-28	19.2	10.1
2019-08-27	16.7	19.7
2019-08-26	5.7	29.8
2019-08-25	16.3	23.8
2019-08-24	0.9	24.9
2019-08-23	3.0	11.5
2019-08-22	8.7	25.8
2019-08-21	1.0	27.5
2019-08-20	8.6	26.0
2019-08-19	13.1	25.3
2019-08-18	7.5	15.7
2019-08-17	11.8	22.4
2019-08-16	18.0	18.3
2019-08-15	5.9	31.4
2019-08-14	10.4	14.0
2019-08-13	5.3	12.5
2019-08-12	14.5	30.8
2019-08-11	16.4	26.1
2019-08-10	17.8	13.2
2019-08-09	5.3	18.2
2019-08-08	14.3	25.3
2019-08-07	6.0	29.5
2019-08-06	16.7	26.9
2019-08-05	18.6	28.2
2019-08-04	4.7	16.0
2019-08-03	13.3	15.8
2019-08-02	4.0	16.9
2019-08-01	6.9	10.5
2019-07-31	11.6	34.1
2019-07-30	2.0	29.5
2019-07-29	12.8	21.0
2019-07-28	16.9	31.0
2019-07-27	13.4	18.5
2019-07-26	0.0	22.8
2019-07-25	4.8	25.8
2019-07-24	17.6	32.6
2019-07-23	2.4	20.5
2019-07-22	13.4	34.5
2019-07-21	13.4	30.8
2019-07-20	6.1	22.8
2019-07-19	3.6	13.8
2019-07-18	16.9	15.3
2019-07-17	9.1	22.1
2019-07-16	15.0	25.1
2019-07-15	7.2	23.7
2019-07-14	17.9	21.8
2019-07-13	16.1	34.2
2019-07-12	15.0	22.8
2019-07-11	12.1	34.3
2019-07-10	3.2	29.9
2019-07-09	7.2	16.9
2019-07-08	3.9	23.1
2019-07-07	9.3	21.4
2019-07-06	18.3	18.9
2019-07-05	4.8	21.7
2019-07-04	10.3	28.4
2019-07-03	18.8	31.5
2019-07-02	5.2	12.3
2019-07-01	10.9	12.1
2019-06-30	19.4	13.6
2019-06-29	16.7	23.4
2019-06-28	17.6	14.4
2019-06-27	0.1	29.8
2019-06-26	16.4	18.6
2019-06-25	8.2	17.5
2019-06-24	2.4	24.6
2019-06-23	0.8	11.1
2019-06-22	5.6	22.1
2019-06-21	15.1	21.5
2019-06-20	13.5	12.9
2019-06-19	1.8	33.5
2019-06-18	0.5	27.3
2019-06-17	8.2	27.8
2019-06-16	13.3	27.4
2019-06-15	3.3	17.2
2019-06-14	11.8	25.1
2019-06-13	17.9	28.5
2019-06-12	13.4	10.5
2019-06-11	11.4	25.3
2019-06-10	5.3	28.4
2019-06-09	7.1	24.2
2019-06-08	14.8	13.1
2019-06-07	5.5	28.8
2019-06-06	17.7	28.1
2019-06-05	6.3	16.8
2019-06-04	7.7	34.3
2019-06-03	15.3	10.5
2019-06-02	11.0	10.8
2019-06-01	19.5	17.0
2019-05-31	15.4	19.4
2019-05-30	14.6	12.3
2019-05-29	17.3	10.3
2019-05-28	6.3	31.6
2019-05-27	3.0	14.9
2019-05-26	4.7	11.7
2019-05-25	3.1	11.1
2019-05-24	6.4	16.8
2019-05-23	1.2	32.5
2019-05-22	18.0	29.1
2019-05-21	11.6	22.3
2019-05-20	1.3	15.4
2019-05-19	15.2	30.2
2019-05-18	0.9	24.3
2019-05-17	8.4	20.1
2019-05-16	8.0	11.5
2019-05-15	13.9	29.3
2019-05-14	16.6	29.6
2019-05-13	18.3	22.6
2019-05-12	16.3	25.0
2019-05-11	14.5	30.5
2019-05-10	2.0	10.1
2019-05-09	16.6	29.1
2019-05-08	7.9	27.2
2019-05-07	10.3	16.8
2019-05-06	16.9	13.2
2019-05-05	16.7	26.3
2019-05-04	7.1	19.2
2019-05-03	3.3	21.3
2019-05-02	1.9	29.4
2019-05-01	6.9	13.0
2019-04-30	6.3	18.5
2019-04-29	1.6	24.3
2019-04-28	12.2	26.2
2019-04-27	12.5	23.0
2019-04-26	17.0	21.2
2019-04-25	17.4	29.6
2019-04-24	14.3	18.4
2019-04-23	9.0	29.6
2019-04-22	5.5	31.8
2019-04-21	7.7	18.3
2019-04-20	2.0	31.2
2019-04-19	10.0	13.1
2019-04-18	2.2	23.0
2019-04-17	6.5	13.4
2019-04-16	13.4	10.4
2019-04-15	8.0	26.9
2019-04-14	12.4	29.7
2019-04-13	15.0	11.5
2019-04-12	6.2	22.0
2019-04-11	14.3	21.1
2019-04-10	2.6	22.5
2019-04-09	14.2	12.7
2019-04-08	14.8	27.4
2019-04-07	7.1	17.2
2019-04-06	9.3	28.5
2019-04-05	12.7	29.3
2019-04-04	3.9	24.4
2019-04-03	9.3	20.7
2019-04-02	15.8	14.3
2019-04-01	16.3	18.8
2019-03-31	10.9	22.2
2019-03-30	2.3	18.0
2019-03-29	7.3	18.8
2019-03-28	19.7	17.4
2019-03-27	18.7	10.6
2019-03-26	13.4	31.6
2019-03-25	2.1	30.5
2019-03-24	6.1	21.8
2019-03-23	19.7	16.8
2019-03-22	6.4	25.1
2019-03-21	17.9	27.7
2019-03-20	2.6	28.9
2019-03-19	1.7	13.5
2019-03-18	7.7	10.5
2019-03-17	8.8	13.5
2019-03-16	0.9	18.5
2019-03-15	17.4	28.7
2019-03-14	18.8	29.4
2019-03-13	11.4	22.4
2019-03-12	9.5	19.7
2019-03-11	6.6	19.6
2019-03-10	12.3	33.3
2019-03-09	2.5	32.7
2019-03-08	9.3	15.5
2019-03-07	13.6	11.3
2019-03-06	0.1	17.1
2019-03-05	3.4	26.6
2019-03-04	5.1	24.1
2019-03-03	6.6	10.1
2019-03-02	15.0	20.2
2019-03-01	9.2	26.4
2019-02-28	5.5	30.5
2019-02-27	6.3	19.4
2019-02-26	19.1	31.1
2019-02-25	7.0	17.9
2019-02-24	4.2	15.2
2019-02-23	10.8	10.8
2019-02-22	13.8	34.4
2019-02-21	5.7	27.3
2019-02-20	9.8	17.7
2019-02-19	17.8	23.2
2019-02-18	4.5	23.9
2019-02-17	13.1	22.3
2019-02-16	10.3	32.5
2019-02-15	16.6	32.3
2019-02-14	1.9	32.7
2019-02-13	10.5	20.7
2019-02-12	3.5	17.5
2019-02-11	16.4	29.8
2019-02-10	17.4	10.0
2019-02-09	2.2	29.0
2019-02-08	2.0	22.5
2019-02-07	18.4	11.7
2019-02-06	18.4	27.5
2019-02-05	8.4	17.1
2019-02-04	15.3	23.3
2019-02-03	3.8	25.1
2019-02-02	4.8	24.3
2019-02-01	7.5	19.7
2019-01-31	4.6	15.9
2019-01-30	17.7	15.7
2019-01-29	17.4	10.3
2019-01-28	4.0	16.1
2019-01-27	17.0	30.4
2019-01-26	6.4	28.4
2019-01-25	3.0	25.9
2019-01-24	5.8	10.1
2019-01-23	11.5	32.8
2019-01-22	6.7	22.4
2019-01-21	2.5	10.1
2019-01-20	15.9	21.2
2019-01-19	11.2	26.8
2019-01-18	16.6	17.9
2019-01-17	17.5	23.1
2019-01-16	6.4	20.6
2019-01-15	5.5	20.2
2019-01-14	6.5	23.6
2019-01-13	18.9	15.3
2019-01-12	12.0	20.4
2019-01-11	3.1	20.5
2019-01-10	6.3	18.0
2019-01-09	8.5	24.9
2019-01-08	3.9	20.3
2019-01-07	2.7	21.3
2019-01-06	12.0	12.5
2019-01-05	7.0	26.8
2019-01-04	9.0	11.6
2019-01-03	7.7	18.3
2019-01-02	10.3	31.9
2019-01-01	18.5	16.5
2018-12-31	15.4	31.4
2018-12-30	9.2	14.5
2018-12-29	7.7	23.6
2018-12-28	1.6	25.1
2018-12-27	7.6	26.6
2018-12-26	6.1	33.1
2018-12-25	16.2	15.4
2018-12-24	13.7	28.5
2018-12-23	14.0	24.0
2018-12-22	2.3	17.6
2018-12-21	18.9	24.9
2018-12-20	3.6	28.9
2018-12-19	19.1	31.0
2018-12-18	19.1	10.8
2018-12-17	15.7	15.4
2018-12-16	17.0	34.8
2018-12-15	10.6	33.3
2018-12-14	17.2	28.3
2018-12-13	18.9	13.5
2018-12-12	0.7	34.9
2018-12-11	2.4	31.5
2018-12-10	7.5	12.9
2018-12-09	14.3	16.3
2018-12-08	10.3	12.3
2018-12-07	15.2	17.1
2018-12-06	12.1	33.3
2018-12-05	16.8	27.2
2018-12-04	4.6	21.0
2018-12-03	9.1	23.7
2018-12-02	7.9	11.0
2018-12-01	8.0	18.1
2018-11-30	19.6	32.3
2018-11-29	16.8	19.5
2018-11-28	15.2	12.6
2018-11-27	1.3	12.0
2018-11-26	7.6	12.1
2018-11-25	5.9	11.7
2018-11-24	2.1	19.5
2018-11-23	10.7	11.5
2018-11-22	7.4	34.0
2018-11-21	9.2	31.4
2018-11-20	11.3	16.9
2018-11-19	15.7	21.8
2018-11-18	4.6	23.8
2018-11-17	6.0	11.3
2018-11-16	1.2	11.1
2018-11-15	10.1	19.8
2018-11-14	7.9	27.8
2018-11-13	9.5	15.4
2018-11-12	15.4	26.6
2018-11-11	7.9	22.7
2018-11-10	3.4	26.0
2018-11-09	7.4	17.3
2018-11-08	7.9	10.3
2018-11-07	14.0	11.6
2018-11-06	0.1	30.0
2018-11-05	7.6	33.8
2018-11-04	6.2	12.5
2018-11-03	11.0	20.3
2018-11-02	1.2	32.5
2018-11-01	0.8	33.6
2018-10-31	17.6	18.5
2018-10-30	6.8	17.5
2018-10-29	1.4	17.1
2018-10-28	6.0	25.4
2018-10-27	13.6	24.1
2018-10-26	13.7	33.9
2018-10-25	10.4	22.9
2018-10-24	4.2	13.6
2018-10-23	11.2	18.3
2018-10-22	7.8	31.4
2018-10-21	3.4	26.1
2018-10-20	0.2	15.9
2018-10-19	15.0	21.8
2018-10-18	16.3	23.1
2018-10-17	12.2	28.9
2018-10-16	9.7	31.3
2018-10-15	7.6	33.8
2018-10-14	19.5	28.0
2018-10-13	6.2	11.6
2018-10-12	12.7	18.6
2018-10-11	7.5	22.4
2018-10-10	18.5	31.9
2018-10-09	18.4	23.5
2018-10-08	9.4	20.4
2018-10-07	13.8	12.4
2018-10-06	17.6	26.6
2018-10-05	5.3	15.2
2018-10-04	19.8	34.6
2018-10-03	9.6	12.6
2018-10-02	0.7	31.7
2018-10-01	18.7	13.5
2018-09-30	3.6	18.6
2018-09-29	5.2	13.0
2018-09-28	1.3	19.4
2018-09-27	17.3	29.3
2018-09-26	7.4	18.0
2018-09-25	4.2	33.5
2018-09-24	16.4	10.1
2018-09-23	9.1	16.0
2018-09-22	19.7	32.1
2018-09-21	5.8	23.9
2018-09-20	19.5	31.2
2018-09-19	12.9	33.8
2018-09-18	15.2	22.1
2018-09-17	16.6	14.9
2018-09-16	5.7	29.4
2018-09-15	17.5	30.7
2018-09-14	10.5	11.4
2018-09-13	19.3	28.6
2018-09-12	14.9	32.3
2018-09-11	18.2	31.1
2018-09-10	3.8	12.9
2018-09-09	9.2	18.5
2018-09-08	2.5	10.3
2018-09-07	15.8	12.7
2018-09-06	5.9	28.9
2018-09-05	14.2	18.9
2018-09-04	7.3	27.3
2018-09-03	11.3	26.0
2018-09-02	17.9	23.4
2018-09-01	18.1	19.5
2018-08-31	0.1	34.9
2018-08-30	5.4	24.9
2018-08-29	11.1	23.5
2018-08-28	2.9	26.8
2018-08-27	6.9	16.0
2018-08-26	11.3	15.6
2018-08-25	1.0	28.8
2018-08-24	1.5	13.4
2018-08-23	13.7	32.5
2018-08-22	0.0	34.2
2018-08-21	15.8	24.0
2018-08-20	11.1	29.4
2018-08-19	18.6	27.7
2018-08-18	7.3	22.0
2018-08-17	12.4	17.2
2018-08-16	11.3	20.2
2018-08-15	5.4	10.8
2018-08-14	3.6	17.8
2018-08-13	7.9	11.4
2018-08-12	15.9	32.2
2018-08-11	8.4	18.1
2018-08-10	13.6	22.5
2018-08-09	17.5	21.4
2018-08-08	18.7	14.8
2018-08-07	14.7	13.0
2018-08-06	1.0	14.7
2018-08-05	1.7	27.7
2018-08-04	5.3	19.9
2018-08-03	15.2	26.9
2018-08-02	18.5	28.3
2018-08-01	0.8	25.0
2018-07-31	4.5	17.2
2018-07-30	9.8	15.3
2018-07-29	14.5	19.0
2018-07-28	0.5	28.5
2018-07-27	4.3	19.9
2018-07-26	11.6	26.3
2018-07-25	19.6	34.0
2018-07-24	12.2	21.0
2018-07-23	12.7	10.4
2018-07-22	12.1	20.4
2018-07-21	17.9	26.4
2018-07-20	5.1	12.2
2018-07-19	7.9	12.2
2018-07-18	0.8	26.0
2018-07-17	16.8	32.3
2018-07-16	9.2	10.6
2018-07-15	2.8	21.0
2018-07-14	18.1	18.1
2018-07-13	17.3	12.6
2018-07-12	16.5	22.3
2018-07-11	5.9	15.5
2018-07-10	4.7	27.5
2018-07-09	18.2	13.6
2018-07-08	15.9	15.2
2018-07-07	1.7	15.5
2018-07-06	8.3	15.6
2018-07-05	10.8	22.8
2018-07-04	14.7	30.8
2018-07-03	14.9	30.9
2018-07-02	17.0	19.9
2018-07-01	18.7	15.9
2018-06-30	16.7	33.5
2018-06-29	18.2	19.9
2018-06-28	8.5	30.8
2018-06-27	6.8	15.1
2018-06-26	18.1	34.2
2018-06-25	12.1	10.2
2018-06-24	12.2	22.8
2018-06-23	5.5	28.9
2018-06-22	2.4	25.2
2018-06-21	9.8	26.2
2018-06-20	3.6	16.6
2018-06-19	7.8	18.6
2018-06-18	18.1	33.0
2018-06-17	10.4	20.8
2018-06-16	9.4	28.2
2018-06-15	2.5	19.8
2018-06-14	13.7	25.3
2018-06-13	0.4	33.2
2018-06-12	12.4	13.3
2018-06-11	18.2	13.1
2018-06-10	13.0	32.7
2018-06-09	15.1	25.7
2018-06-08	7.5	21.9
2018-06-07	17.0	12.6
2018-06-06	17.9	11.5
2018-06-05	8.3	19.7
2018-06-04	2.8	32.0
2018-06-03	1.9	25.1
2018-06-02	8.0	25.8
2018-06-01	1.8	24.4
2018-05-31	17.6	22.7
2018-05-30	14.3	25.8
2018-05-29	13.6	25.7
2018-05-28	0.2	34.7
2018-05-27	19.3	13.9
2018-05-26	19.6	27.3
2018-05-25	0.6	21.2
2018-05-24	1.2	26.6
2018-05-23	16.5	32.6
2018-05-22	9.5	31.1
2018-05-21	4.6	33.9
2018-05-20	0.4	19.0
2018-05-19	4.8	29.7
2018-05-18	6.5	29.7
2018-05-17	11.4	12.8
2018-05-16	0.1	28.4
2018-05-15	6.7	25.5
2018-05-14	4.8	28.5
2018-05-13	17.8	16.7
2018-05-12	14.6	13.1
2018-05-11	7.5	17.4
2018-05-10	9.2	30.0
2018-05-09	8.3	18.7
2018-05-08	17.0	28.3
2018-05-07	0.4	18.3
2018-05-06	4.3	17.4
2018-05-05	9.6	13.9
2018-05-04	16.4	33.0
2018-05-03	9.4	11.0
2018-05-02	15.5	14.3
2018-05-01	8.4	25.2
2018-04-30	15.6	14.8
2018-04-29	6.2	16.0
2018-04-28	5.4	30.1
2018-04-27	0.9	14.8
2018-04-26	11.2	29.1
2018-04-25	17.0	14.0
2018-04-24	19.5	29.2
2018-04-23	1.1	23.2
2018-04-22	8.6	35.0
2018-04-21	18.5	34.3
2018-04-20	1.8	31.2
2018-04-19	3.9	25.6
2018-04-18	4.8	31.8
2018-04-17	9.9	28.3
2018-04-16	10.5	14.4
2018-04-15	5.0	11.0
2018-04-14	4.1	23.8
2018-04-13	9.6	23.2
2018-04-12	8.8	13.6
2018-04-11	10.4	24.1
2018-04-10	17.5	15.5
2018-04-09	9.1	31.2
2018-04-08	0.4	20.9
2018-04-07	13.5	31.7
2018-04-06	1.9	15.9
2018-04-05	9.9	14.5
2018-04-04	15.2	15.9
2018-04-03	7.0	29.3
2018-04-02	2.5	11.5
2018-04-01	19.7	11.3
2018-03-31	3.1	20.4
2018-03-30	7.9	14.9
2018-03-29	2.1	25.9
2018-03-28	17.1	30.4
2018-03-27	0.5	12.2
2018-03-26	6.4	12.3
2018-03-25	6.7	22.8
2018-03-24	16.6	15.4
2018-03-23	18.9	24.0
2018-03-22	17.4	16.3
2018-03-21	16.5	29.4
2018-03-20	7.3	19.1
2018-03-19	9.7	17.6
2018-03-18	6.6	23.8
2018-03-17	13.0	17.2
2018-03-16	19.2	29.1
2018-03-15	9.0	28.7
2018-03-14	11.6	33.9
2018-03-13	11.3	29.0
2018-03-12	14.0	32.8
2018-03-11	2.1	34.9
